,Sno,Customer_number,Insurance,balance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn
150,150,1151,no,19.0,yes,no,,163.0,2,1,0,,no,319.0
151,151,1152,no,0.0,yes,no,,610.0,2,1,0,,no,144.0
152,152,1153,no,4.0,yes,no,,2033.0,1,1,0,,no,226.0
153,153,1154,no,18.0,yes,no,,85.0,1,1,0,,no,310.0
154,154,1155,no,139.0,no,no,,,2,1,0,,no,495.0
155,155,1156,no,0.0,yes,no,,114.0,2,1,0,,no,392.0
156,156,1157,no,1883.0,yes,no,,57.0,1,1,0,,no,281.0
157,157,1158,no,216.0,yes,no,,238.0,1,1,0,,no,143.0
158,158,1159,no,782.0,yes,no,,93.0,3,1,0,,no,176.0
159,159,1160,no,904.0,yes,no,,128.0,2,1,0,,no,416.0
160,160,1161,no,1705.0,yes,no,,107.0,1,2,0,,no,460.0
161,161,1162,no,47.0,yes,no,,181.0,1,1,0,,no,108.0
162,162,1163,no,176.0,yes,no,,303.0,2,1,0,,no,442.0
163,163,1164,no,1225.0,yes,no,,558.0,5,1,0,,no,186.0
164,164,1165,no,86.0,yes,no,,270.0,1,1,0,,no,258.0
165,165,1166,no,82.0,yes,no,,228.0,1,1,0,,no,266.0
166,166,1167,no,271.0,yes,no,,99.0,1,1,0,,no,485.0
167,167,1168,no,1378.0,yes,no,,240.0,1,1,0,,no,395.0
168,168,1169,no,184.0,no,no,,673.0,2,1,0,,yes,356.0
169,169,1170,no,0.0,no,no,,233.0,3,1,0,,no,156.0
170,170,1171,no,0.0,yes,no,,1056.0,1,1,0,,no,387.0
171,171,1172,no,1357.0,yes,yes,,250.0,1,1,0,,no,494.0
172,172,1173,no,19.0,yes,no,,252.0,1,1,0,,no,146.0
173,173,1174,no,434.0,no,no,,138.0,1,1,0,,no,217.0
174,174,1175,no,92.0,yes,no,,130.0,1,1,0,,no,271.0
175,175,1176,no,1151.0,yes,no,,412.0,1,1,0,,no,370.0
176,176,1177,no,,yes,no,,179.0,2,1,0,,no,334.0
177,177,1178,no,51.0,yes,no,,19.0,2,1,0,,no,219.0
178,178,1179,no,214.0,yes,no,,458.0,2,1,0,,no,379.0
179,179,1180,no,1161.0,yes,no,,717.0,1,1,0,,no,171.0
180,180,1181,no,37.0,yes,no,,313.0,1,1,0,,no,258.0
181,181,1182,no,787.0,yes,no,,683.0,2,1,0,,no,116.0
182,182,1183,no,59.0,yes,no,,1077.0,1,1,0,,no,236.0
183,183,1184,no,253.0,yes,no,,416.0,1,1,0,,no,343.0
184,184,1185,no,211.0,yes,no,,146.0,2,1,0,,no,482.0
185,185,1186,no,235.0,yes,no,,167.0,1,1,0,,no,358.0
186,186,1187,no,4384.0,yes,no,,315.0,1,1,0,,no,326.0
187,187,1188,no,4080.0,no,no,,140.0,1,1,0,,no,128.0
188,188,1189,no,53.0,yes,yes,,346.0,1,1,0,,no,495.0
189,189,1190,no,0.0,yes,no,,562.0,1,1,0,,no,118.0
190,190,1191,no,2127.0,yes,no,,172.0,1,1,0,,no,397.0
191,191,1192,no,377.0,yes,no,,217.0,1,1,0,,no,175.0
192,192,1193,no,73.0,yes,no,,,2,1,0,,no,422.0
193,193,1194,no,445.0,yes,no,,67.0,1,1,0,,no,184.0
194,194,1195,no,243.0,yes,no,,291.0,1,1,0,,no,249.0
195,195,1196,no,307.0,yes,no,,309.0,2,1,0,,no,307.0
196,196,1197,no,155.0,yes,no,,248.0,1,1,0,,no,239.0
197,197,1198,no,173.0,no,yes,,98.0,1,1,0,,no,408.0
198,198,1199,no,400.0,yes,no,,256.0,1,1,0,,no,458.0
199,199,1200,no,1428.0,yes,no,,82.0,2,1,0,,no,192.0
200,200,1201,no,219.0,yes,no,,577.0,1,1,0,,no,253.0
201,201,1202,no,7.0,yes,no,,286.0,1,1,0,,no,303.0
202,202,1203,no,575.0,yes,no,,477.0,1,1,0,,no,259.0
203,203,1204,no,298.0,yes,no,,611.0,2,1,0,,no,184.0
204,204,1205,no,0.0,yes,no,,471.0,1,1,0,,no,367.0
205,205,1206,no,5699.0,yes,no,,381.0,2,1,0,,no,173.0
206,206,1207,no,176.0,yes,yes,,42.0,1,1,0,,no,490.0
207,207,1208,no,517.0,yes,no,,251.0,1,1,0,,no,272.0
208,208,1209,no,257.0,yes,no,,408.0,1,1,0,,no,261.0
209,209,1210,no,56.0,yes,no,,215.0,1,1,0,,no,230.0
210,210,1211,no,390.0,yes,no,,287.0,1,1,0,,no,159.0
211,211,1212,no,330.0,yes,no,,216.0,2,1,0,,no,367.0
212,212,1213,no,195.0,no,no,,366.0,2,1,0,,no,410.0
213,213,1214,no,301.0,yes,no,,210.0,1,1,0,,no,115.0
214,214,1215,no,41.0,yes,no,,288.0,1,1,0,,no,206.0
215,215,1216,no,483.0,yes,no,,168.0,1,1,0,,no,375.0
216,216,1217,no,28.0,no,no,,338.0,2,1,0,,no,125.0
217,217,1218,no,13.0,no,no,,410.0,3,1,0,,no,397.0
218,218,1219,no,965.0,no,no,,177.0,1,1,0,,no,338.0
219,219,1220,no,378.0,yes,yes,,127.0,2,1,0,,no,231.0
220,220,1221,no,219.0,yes,no,,357.0,1,1,0,,no,423.0
221,221,1222,no,324.0,yes,no,,175.0,1,1,0,,no,448.0
222,222,1223,no,69.0,yes,no,,300.0,1,1,0,,no,251.0
223,223,1224,no,0.0,no,yes,,136.0,1,1,0,,no,303.0
224,224,1225,no,205.0,yes,no,,1419.0,1,1,0,,no,468.0
225,225,1226,no,278.0,yes,no,,125.0,2,1,0,,no,163.0
226,226,1227,no,1065.0,yes,no,,213.0,3,1,0,,no,121.0
227,227,1228,no,34.0,yes,no,,27.0,1,1,0,,no,287.0
228,228,1229,no,1033.0,no,no,,238.0,2,1,0,,no,111.0
229,229,1230,no,1467.0,yes,no,,124.0,1,1,0,,no,329.0
230,230,1231,no,12.0,yes,no,,18.0,1,1,0,,no,123.0
231,231,1232,no,388.0,yes,no,,730.0,2,1,0,,no,272.0
232,232,1233,no,294.0,yes,no,,746.0,2,1,0,,no,384.0
233,233,1234,no,1827.0,no,no,,121.0,1,1,0,,no,101.0
234,234,1235,no,627.0,yes,no,,247.0,1,1,0,,no,317.0
235,235,1236,no,25.0,yes,no,,40.0,1,1,0,,no,310.0
236,236,1237,no,315.0,yes,no,,181.0,2,1,0,,no,263.0
237,237,1238,no,0.0,yes,no,,79.0,1,1,0,,no,383.0
238,238,1239,no,66.0,yes,no,,206.0,1,1,0,,no,361.0
239,239,1240,no,9.0,yes,yes,,389.0,1,1,0,,no,404.0
240,240,1241,no,349.0,yes,yes,,127.0,1,1,0,,no,493.0
241,241,1242,no,100.0,yes,no,,702.0,1,1,0,,no,382.0
242,242,1243,no,0.0,no,no,,151.0,1,1,0,,no,354.0
243,243,1244,no,434.0,yes,no,,,1,1,0,,no,439.0
244,244,1245,no,3237.0,yes,no,,232.0,3,1,0,,no,402.0
245,245,1246,no,275.0,no,no,,408.0,2,1,0,,no,470.0
246,246,1247,no,0.0,yes,no,,179.0,2,1,0,,no,386.0
247,247,1248,no,207.0,yes,no,,39.0,1,1,0,,no,291.0
248,248,1249,no,483.0,yes,no,,282.0,1,1,0,,no,481.0
249,249,1250,no,2248.0,yes,no,,714.0,2,1,0,,no,408.0
250,250,1251,no,428.0,yes,no,,50.0,1,1,0,,no,170.0
251,251,1252,no,0.0,yes,yes,,181.0,1,1,0,,no,208.0
252,252,1253,no,0.0,yes,no,,142.0,1,1,0,,no,202.0
253,253,1254,no,140.0,yes,no,,227.0,1,1,0,,no,152.0
254,254,1255,no,297.0,yes,no,,119.0,1,2,0,,no,476.0
255,255,1256,no,279.0,yes,no,,361.0,1,1,0,,no,171.0
256,256,1257,no,901.0,yes,no,,73.0,3,1,0,,no,205.0
257,257,1258,no,2573.0,yes,no,,67.0,2,1,0,,no,488.0
258,258,1259,no,143.0,yes,yes,,350.0,1,1,0,,no,104.0
259,259,1260,no,475.0,yes,no,,332.0,2,1,0,,no,309.0
260,260,1261,no,70.0,yes,no,,611.0,2,1,0,,no,358.0
261,261,1262,no,318.0,yes,no,,113.0,2,1,0,,no,229.0
262,262,1263,no,275.0,yes,no,,,1,1,0,,no,436.0
263,263,1264,no,742.0,yes,no,,58.0,3,1,0,,no,293.0
264,264,1265,no,236.0,yes,no,,151.0,1,1,0,,no,464.0
265,265,1266,no,25.0,yes,no,,89.0,2,1,0,,no,151.0
266,266,1267,no,600.0,yes,no,,152.0,1,1,0,,no,372.0
267,267,1268,no,349.0,yes,no,,611.0,2,1,0,,no,222.0
268,268,1269,no,183.0,yes,yes,,110.0,2,1,0,,no,128.0
269,269,1270,no,0.0,yes,no,,463.0,1,1,0,,no,324.0
270,270,1271,no,0.0,yes,yes,,562.0,2,1,0,,yes,154.0
271,271,1272,no,0.0,yes,no,,962.0,1,1,0,,no,153.0
272,272,1273,no,1078.0,yes,no,,10.0,4,1,0,,no,158.0
273,273,1274,no,155.0,no,no,,118.0,3,1,0,,no,468.0
274,274,1275,no,190.0,yes,no,,92.0,2,1,0,,no,279.0
275,275,1276,no,319.0,yes,no,,143.0,3,1,0,,no,232.0
276,276,1277,no,185.0,yes,no,,189.0,3,1,0,,no,373.0
277,277,1278,no,47.0,no,no,,234.0,2,1,0,,no,402.0
278,278,1279,no,570.0,yes,no,,75.0,2,1,0,,no,215.0
279,279,1280,no,19.0,no,no,,189.0,2,1,0,,no,131.0
280,280,1281,no,61.0,yes,no,,621.0,3,1,0,,no,232.0
281,281,1282,no,62.0,yes,yes,,55.0,2,1,0,,no,464.0
282,282,1283,no,258.0,no,no,,310.0,4,1,0,,no,116.0
283,283,1284,no,76.0,yes,no,,156.0,2,1,0,,no,263.0
284,284,1285,no,0.0,yes,no,,5.0,2,1,0,,no,326.0
285,285,1286,no,352.0,yes,no,,225.0,2,1,0,,no,497.0
286,286,1287,no,368.0,yes,no,,125.0,2,1,0,,no,413.0
287,287,1288,no,339.0,yes,no,,2.0,3,1,0,,no,231.0
288,288,1289,no,1331.0,yes,no,,286.0,2,1,0,,no,143.0
289,289,1290,no,672.0,yes,no,,164.0,2,1,0,,no,188.0
290,290,1291,no,58.0,yes,no,,98.0,2,1,0,,no,148.0
291,291,1292,no,447.0,yes,no,,742.0,2,1,0,,no,214.0
292,292,1293,no,423.0,yes,no,,226.0,3,1,0,,no,425.0
293,293,1294,no,0.0,no,no,,,2,1,0,,no,232.0
294,294,1295,no,19.0,yes,no,,362.0,4,1,0,,no,388.0
295,295,1296,no,13.0,yes,no,,357.0,2,1,0,,no,175.0
296,296,1297,no,3.0,yes,no,,200.0,2,1,0,,no,147.0
297,297,1298,no,82.0,yes,no,,204.0,2,1,0,,no,234.0
298,298,1299,no,28.0,yes,no,,126.0,3,1,0,,no,450.0
299,299,1300,no,792.0,yes,no,,65.0,2,1,0,,no,180.0
300,300,1301,no,408.0,yes,no,,107.0,2,1,0,,no,268.0
301,301,1302,no,531.0,yes,no,,267.0,2,1,0,,no,357.0
302,302,1303,no,211.0,yes,no,,248.0,2,1,0,,no,374.0
303,303,1304,no,62.0,yes,no,,215.0,2,1,0,,no,342.0
304,304,1305,no,257.0,yes,no,,209.0,2,1,0,,no,206.0
305,305,1306,no,1234.0,yes,no,,205.0,2,1,0,,no,168.0
306,306,1307,no,313.0,yes,no,,83.0,2,1,0,,no,159.0
307,307,1308,no,89.0,yes,no,,106.0,3,1,0,,no,488.0
308,308,1309,no,129.0,yes,yes,,189.0,2,1,0,,no,124.0
309,309,1310,no,0.0,yes,no,,,2,1,0,,no,400.0
310,310,1311,no,353.0,yes,no,,106.0,2,1,0,,no,309.0
311,311,1312,no,851.0,yes,no,,108.0,2,1,0,,no,364.0
312,312,1313,no,96.0,yes,yes,,311.0,2,1,0,,no,320.0
313,313,1314,no,398.0,yes,yes,,214.0,2,1,0,,no,292.0
314,314,1315,no,193.0,no,no,,132.0,2,1,0,,no,291.0
315,315,1316,no,358.0,yes,no,,358.0,2,1,0,,no,172.0
316,316,1317,no,539.0,yes,yes,,453.0,2,1,0,,no,444.0
317,317,1318,no,0.0,yes,no,,364.0,2,1,0,,no,349.0
318,318,1319,no,0.0,no,no,,136.0,2,1,0,,no,313.0
319,319,1320,no,490.0,yes,no,,386.0,2,1,0,,no,186.0
320,320,1321,no,0.0,yes,no,,173.0,2,1,0,,no,116.0
321,321,1322,no,403.0,yes,no,,241.0,2,1,0,,no,178.0
322,322,1323,no,161.0,yes,no,,224.0,3,1,0,,no,419.0
323,323,1324,no,2558.0,no,no,,148.0,2,1,0,,no,297.0
324,324,1325,no,98.0,yes,no,,196.0,2,1,0,,no,267.0
325,325,1326,no,115.0,no,no,,111.0,4,1,0,,no,433.0
326,326,1327,no,436.0,yes,no,,231.0,3,1,0,,no,393.0
327,327,1328,no,831.0,yes,no,,316.0,3,1,0,,no,417.0
328,328,1329,no,206.0,yes,no,,216.0,3,1,0,,no,210.0
329,329,1330,no,290.0,yes,no,,240.0,2,1,0,,no,282.0
330,330,1331,no,1.0,no,no,,669.0,3,1,0,,no,345.0
331,331,1332,no,57.0,yes,no,,425.0,2,1,0,,no,117.0
332,332,1333,no,1000.0,yes,no,,,2,1,0,,no,278.0
333,333,1334,no,1387.0,yes,no,,174.0,5,1,0,,no,298.0
334,334,1335,no,24598.0,yes,no,,313.0,3,1,0,,no,218.0
335,335,1336,no,30.0,yes,no,,135.0,4,1,0,,no,443.0
336,336,1337,no,1022.0,yes,no,,146.0,2,1,0,,no,331.0
337,337,1338,no,56.0,yes,yes,,152.0,2,1,0,,no,435.0
338,338,1339,yes,2.0,no,no,,402.0,3,1,0,,no,386.0
339,339,1340,no,121.0,yes,no,,213.0,2,1,0,,no,219.0
340,340,1341,no,842.0,yes,no,,144.0,3,1,0,,no,215.0
341,341,1342,no,693.0,yes,no,,124.0,3,1,0,,no,315.0
342,342,1343,no,333.0,yes,no,,183.0,2,1,0,,no,117.0
343,343,1344,no,1533.0,yes,no,,325.0,2,1,0,,no,380.0
344,344,1345,no,46.0,yes,no,,39.0,4,1,0,,no,371.0
345,345,1346,no,18.0,no,no,,503.0,2,1,0,,no,213.0
346,346,1347,no,44.0,yes,no,,95.0,4,1,0,,no,429.0
347,347,1348,no,100.0,yes,no,,680.0,2,1,0,,no,134.0
348,348,1349,no,510.0,yes,no,,421.0,4,1,0,,no,321.0
349,349,1350,no,685.0,yes,no,,174.0,3,1,0,,no,110.0
350,350,1351,no,187.0,yes,no,,113.0,2,1,0,,no,173.0
351,351,1352,no,66.0,yes,no,,808.0,2,1,0,,no,476.0
352,352,1353,no,560.0,yes,no,,198.0,3,1,0,,no,481.0
353,353,1354,no,0.0,yes,no,,195.0,2,1,0,,no,468.0
354,354,1355,no,27.0,no,no,,347.0,3,1,0,,no,432.0
355,355,1356,no,12.0,yes,no,,208.0,2,2,0,,no,404.0
356,356,1357,no,,yes,no,,404.0,4,1,0,,no,447.0
357,357,1358,no,1068.0,yes,no,,396.0,2,1,0,,no,382.0
358,358,1359,no,211.0,yes,no,,216.0,4,1,0,,no,226.0
359,359,1360,no,377.0,yes,no,,98.0,2,1,0,,no,288.0
360,360,1361,no,263.0,yes,no,,350.0,2,1,0,,no,209.0
361,361,1362,no,1263.0,yes,no,,,2,1,0,,no,251.0
362,362,1363,no,8.0,yes,no,,88.0,3,1,0,,no,416.0
363,363,1364,no,126.0,yes,yes,,379.0,2,1,0,,no,440.0
364,364,1365,no,230.0,yes,no,,190.0,3,1,0,,no,281.0
365,365,1366,no,841.0,yes,no,,158.0,1,1,0,,no,286.0
366,366,1367,no,308.0,yes,no,,102.0,1,1,0,,no,144.0
367,367,1368,no,1.0,yes,no,,306.0,1,1,0,,no,457.0
368,368,1369,no,86.0,yes,no,,218.0,1,1,0,,no,349.0
369,369,1370,no,157.0,yes,no,,54.0,1,1,0,,no,196.0
370,370,1371,no,22.0,yes,no,,344.0,1,1,0,,no,165.0
371,371,1372,no,46.0,yes,yes,,195.0,1,1,0,,no,495.0
372,372,1373,no,1293.0,no,no,,652.0,1,1,0,,no,495.0
373,373,1374,no,122.0,yes,no,,286.0,1,1,0,,no,358.0
374,374,1375,no,131.0,yes,no,,189.0,1,1,0,,no,301.0
375,375,1376,no,143.0,yes,no,,83.0,1,1,0,,no,319.0
376,376,1377,no,393.0,no,no,,184.0,2,1,0,,no,320.0
377,377,1378,no,98.0,yes,no,,235.0,1,1,0,,no,215.0
378,378,1379,no,0.0,yes,no,,290.0,1,1,0,,no,322.0
379,379,1380,no,224.0,yes,no,,232.0,1,1,0,,no,266.0
380,380,1381,no,757.0,yes,no,,133.0,1,1,0,,no,208.0
