,Customer_number,age,job,marital,education,Annual Income,Gender
63,1064,33.0,services,married,secondary,3884662.0,F
64,1065,49.0,blue-collar,married,,4884667.0,M
65,1066,51.0,management,married,tertiary,405932.0,F
66,1067,60.0,retired,married,tertiary,4249849.0,F
67,1068,59.0,management,divorced,tertiary,1160299.0,M
68,1069,55.0,technician,married,secondary,487958.0,F
69,1070,35.0,blue-collar,single,secondary,4708688.0,M
70,1071,57.0,blue-collar,married,secondary,3426031.0,M
71,1072,31.0,services,married,secondary,3697996.0,F
72,1073,54.0,management,married,secondary,902705.0,M
73,1074,55.0,blue-collar,married,primary,3114237.0,M
74,1075,43.0,technician,married,secondary,2661329.0,M
75,1076,53.0,technician,married,secondary,2062706.0,M
76,1077,44.0,blue-collar,married,secondary,3578861.0,M
77,1078,55.0,services,divorced,secondary,2497471.0,M
78,1079,49.0,services,divorced,secondary,4925497.0,M
79,1080,55.0,services,divorced,secondary,2661959.0,F
80,1081,45.0,admin.,single,secondary,3801900.0,M
81,1082,47.0,services,divorced,secondary,4752810.0,F
82,1083,42.0,technician,single,secondary,1350522.0,M
83,1084,59.0,admin.,,secondary,1368654.0,F
84,1085,46.0,self-employed,married,tertiary,1895636.0,M
85,1086,51.0,blue-collar,married,primary,4711400.0,M
86,1087,56.0,admin.,married,secondary,3604898.0,M
87,1088,41.0,technician,married,secondary,201417.0,F
88,1089,46.0,management,divorced,secondary,2941476.0,F
89,1090,57.0,retired,married,secondary,1329682.0,M
90,1091,42.0,management,single,secondary,4304701.0,F
91,1092,30.0,technician,married,secondary,2231325.0,M
92,1093,60.0,admin.,married,secondary,3165738.0,M
93,1094,60.0,blue-collar,married,,3815103.0,M
94,1095,57.0,entrepreneur,divorced,secondary,8939107.0,F
95,1096,36.0,management,married,tertiary,3519095.0,F
96,1097,55.0,blue-collar,married,secondary,1354433.0,M
97,1098,60.0,retired,married,tertiary,4489810.0,M
98,1099,39.0,technician,married,secondary,1410290.0,M
99,1100,46.0,management,married,tertiary,1692724.0,F
100,1101,44.0,blue-collar,married,secondary,8937766.0,M
101,1102,53.0,blue-collar,married,primary,1066385.0,F
102,1103,52.0,blue-collar,married,primary,3773683.0,F
103,1104,59.0,blue-collar,married,primary,3695031.0,M
104,1105,27.0,technician,single,tertiary,532605.0,F
105,1106,44.0,blue-collar,married,secondary,1292576.0,M
106,1107,47.0,technician,married,tertiary,3817854.0,M
107,1108,34.0,admin.,married,secondary,3138036.0,F
108,1109,59.0,retired,single,secondary,471841.0,M
109,1110,45.0,management,married,tertiary,3604103.0,M
110,1111,29.0,services,divorced,secondary,1243249.0,F
111,1112,46.0,technician,divorced,secondary,3592818.0,F
112,1113,56.0,self-employed,married,primary,8936692.0,M
113,1114,36.0,blue-collar,married,primary,644826.0,F
114,1115,59.0,retired,divorced,primary,3322345.0,F
115,1116,44.0,blue-collar,married,secondary,605348.0,F
116,1117,41.0,admin.,married,secondary,3956436.0,M
117,1118,33.0,management,single,tertiary,8936265.0,F
118,1119,59.0,management,divorced,tertiary,926367.0,F
119,1120,57.0,technician,married,primary,3784622.0,F
120,1121,56.0,technician,divorced,,2992594.0,M
121,1122,51.0,blue-collar,married,secondary,3517790.0,M
122,1123,34.0,admin.,married,,4232478.0,F
123,1124,43.0,services,married,secondary,806383.0,F
124,1125,52.0,technician,married,tertiary,2633024.0,F
125,1126,33.0,technician,single,secondary,2887765.0,F
126,1127,29.0,admin.,single,secondary,2362442.0,M
127,1128,34.0,services,married,secondary,8935683.0,F
128,1129,31.0,blue-collar,married,secondary,2719720.0,F
129,1130,55.0,services,married,secondary,4136180.0,M
130,1131,55.0,management,married,,310304.0,F
131,1132,32.0,admin.,single,secondary,3465105.0,M
132,1133,38.0,technician,single,secondary,1628338.0,F
133,1134,55.0,admin.,single,secondary,394418.0,F
134,1135,28.0,unemployed,single,tertiary,3172790.0,F
135,1136,23.0,blue-collar,married,secondary,2197696.0,M
136,1137,32.0,technician,single,secondary,3245888.0,M
137,1138,43.0,services,single,,2458125.0,M
138,1139,32.0,blue-collar,married,secondary,2934143.0,M
139,1140,46.0,blue-collar,married,secondary,4595132.0,M
140,1141,53.0,housemaid,divorced,primary,4371355.0,M
141,1142,34.0,self-employed,single,secondary,4065567.0,F
142,1143,57.0,unemployed,married,tertiary,4666021.0,F
143,1144,37.0,blue-collar,married,secondary,1346120.0,M
144,1145,59.0,blue-collar,married,secondary,2957933.0,F
145,1146,33.0,services,married,secondary,212027.0,F
146,1147,56.0,blue-collar,divorced,primary,4224101.0,F
147,1148,48.0,unemployed,married,secondary,2806567.0,F
148,1149,43.0,services,married,primary,1416252.0,F
149,1150,54.0,blue-collar,married,primary,4845272.0,F
150,1151,51.0,blue-collar,married,,8643368.0,M
151,1152,26.0,student,single,secondary,3921379.0,F
152,1153,40.0,management,married,tertiary,8641142.0,F
153,1154,39.0,management,married,secondary,4180300.0,M
154,1155,50.0,technician,married,primary,350803.0,F
155,1156,41.0,services,married,secondary,2596935.0,F
156,1157,51.0,blue-collar,married,,3735582.0,M
157,1158,60.0,retired,divorced,secondary,734013.0,M
158,1159,52.0,blue-collar,married,secondary,475900.0,M
159,1160,48.0,blue-collar,married,secondary,2429704.0,M
160,1161,48.0,services,married,,4372029.0,F
161,1162,39.0,technician,single,tertiary,3986600.0,F
162,1163,47.0,services,single,secondary,1343086.0,M
163,1164,40.0,blue-collar,married,secondary,709422.0,F
164,1165,45.0,technician,married,secondary,4611496.0,M
165,1166,26.0,admin.,single,secondary,3161769.0,M
166,1167,52.0,management,married,tertiary,1015156.0,M
167,1168,54.0,technician,married,secondary,3547388.0,F
168,1169,54.0,admin.,married,tertiary,1382727.0,M
169,1170,50.0,blue-collar,married,primary,2903234.0,F
170,1171,35.0,blue-collar,married,secondary,3012173.0,M
171,1172,44.0,services,married,secondary,2106395.0,M
172,1173,53.0,entrepreneur,married,,4998118.0,F
173,1174,35.0,retired,single,primary,3873773.0,M
174,1175,60.0,admin.,divorced,secondary,492069.0,F
175,1176,53.0,admin.,divorced,secondary,575892.0,F
176,1177,48.0,unemployed,married,secondary,1123572.0,M
177,1178,34.0,technician,married,secondary,3376547.0,F
178,1179,54.0,services,married,secondary,1636007.0,M
179,1180,51.0,management,married,secondary,368600.0,M
180,1181,31.0,services,married,tertiary,1472411.0,M
181,1182,35.0,technician,divorced,secondary,3779025.0,M
182,1183,35.0,services,married,secondary,256461.0,M
183,1184,38.0,technician,married,secondary,1472997.0,M
184,1185,36.0,admin.,married,tertiary,4811842.0,M
185,1186,58.0,retired,married,primary,1351108.0,F
186,1187,40.0,services,divorced,,3862903.0,M
187,1188,54.0,management,married,secondary,3544726.0,M
188,1189,34.0,blue-collar,single,secondary,4033916.0,F
189,1190,31.0,management,single,tertiary,3618892.0,M
190,1191,51.0,retired,married,secondary,2035651.0,F
191,1192,33.0,management,married,tertiary,710460.0,F
192,1193,55.0,management,married,tertiary,2314890.0,M
193,1194,42.0,admin.,married,secondary,2402896.0,F
194,1195,34.0,blue-collar,married,secondary,642228.0,M
195,1196,33.0,blue-collar,single,secondary,4153811.0,F
196,1197,38.0,services,married,secondary,4475658.0,F
197,1198,50.0,technician,divorced,tertiary,4290423.0,M
198,1199,43.0,management,married,tertiary,3444604.0,M
199,1200,61.0,blue-collar,divorced,primary,727804.0,M
200,1201,47.0,admin.,married,secondary,1751709.0,M
201,1202,48.0,self-employed,married,tertiary,1890241.0,F
202,1203,44.0,blue-collar,married,secondary,2228918.0,M
203,1204,35.0,student,single,,3892805.0,F
204,1205,35.0,services,married,secondary,820735.0,M
205,1206,50.0,services,married,secondary,1646207.0,F
206,1207,41.0,management,married,tertiary,2825252.0,F
207,1208,41.0,management,married,tertiary,3482885.0,F
208,1209,39.0,services,single,,1867485.0,M
209,1210,42.0,retired,married,secondary,4886124.0,M
210,1211,38.0,blue-collar,married,secondary,8641090.0,F
211,1212,53.0,retired,married,secondary,590492.0,M
212,1213,59.0,housemaid,divorced,primary,4668765.0,M
213,1214,36.0,services,married,secondary,2774088.0,F
214,1215,54.0,blue-collar,married,primary,6906530.0,M
215,1216,40.0,technician,married,tertiary,3508020.0,F
216,1217,47.0,,married,,4301012.0,F
217,1218,53.0,unemployed,married,,1321699.0,M
218,1219,46.0,housemaid,married,primary,2527997.0,M
219,1220,39.0,management,married,tertiary,843805.0,M
220,1221,40.0,unemployed,married,secondary,784900.0,M
221,1222,28.0,blue-collar,married,primary,2485547.0,M
222,1223,35.0,entrepreneur,divorced,secondary,6906322.0,M
223,1224,55.0,retired,married,secondary,2541809.0,F
224,1225,43.0,technician,divorced,,4709179.0,M
225,1226,48.0,blue-collar,married,primary,3263712.0,M
226,1227,58.0,management,married,,2093511.0,F
227,1228,33.0,management,single,tertiary,4791962.0,M
228,1229,36.0,blue-collar,married,,2726432.0,F
229,1230,53.0,services,divorced,secondary,4030488.0,M
230,1231,47.0,blue-collar,married,primary,5916354.0,M
231,1232,31.0,services,married,secondary,1319456.0,M
232,1233,57.0,entrepreneur,married,secondary,2641093.0,M
233,1234,53.0,blue-collar,married,,2297055.0,M
234,1235,55.0,blue-collar,married,primary,3241739.0,M
235,1236,45.0,blue-collar,married,primary,2439500.0,M
236,1237,53.0,admin.,divorced,secondary,3340322.0,F
237,1238,37.0,blue-collar,married,primary,4474885.0,M
238,1239,44.0,admin.,divorced,secondary,4186520.0,F
239,1240,49.0,blue-collar,divorced,primary,5916021.0,M
240,1241,46.0,technician,married,secondary,1142866.0,F
241,1242,43.0,entrepreneur,married,,572262.0,M
242,1243,38.0,admin.,married,secondary,1768474.0,F
243,1244,43.0,technician,married,secondary,4257021.0,F
244,1245,49.0,management,married,tertiary,3365368.0,F
245,1246,42.0,management,married,,2376019.0,M
246,1247,22.0,blue-collar,single,secondary,436173.0,F
247,1248,40.0,management,married,tertiary,2440438.0,M
248,1249,39.0,blue-collar,married,secondary,2609659.0,M
249,1250,51.0,services,married,secondary,992903.0,F
250,1251,49.0,admin.,married,secondary,1364717.0,M
251,1252,53.0,blue-collar,married,secondary,4998240.0,M
252,1253,34.0,services,single,secondary,4450185.0,F
253,1254,33.0,technician,divorced,secondary,1972857.0,M
254,1255,50.0,management,single,tertiary,4267265.0,F
255,1256,39.0,blue-collar,married,primary,3522286.0,F
256,1257,59.0,entrepreneur,divorced,secondary,3973103.0,F
257,1258,30.0,technician,single,secondary,825717.0,M
258,1259,36.0,services,married,secondary,1645363.0,F
259,1260,40.0,blue-collar,married,secondary,438884.0,M
260,1261,53.0,blue-collar,married,secondary,3140106.0,F
261,1262,34.0,management,single,tertiary,4446542.0,F
262,1263,37.0,technician,married,secondary,4507200.0,F
263,1264,42.0,management,divorced,tertiary,4097614.0,M
264,1265,41.0,entrepreneur,married,primary,2419870.0,M
265,1266,30.0,student,single,tertiary,2752057.0,F
266,1267,37.0,management,single,tertiary,876730.0,F
267,1268,39.0,admin.,divorced,secondary,5915099.0,M
268,1269,41.0,blue-collar,married,primary,563221.0,F
269,1270,40.0,blue-collar,married,primary,3326870.0,M
270,1271,42.0,management,single,tertiary,2156278.0,F
271,1272,40.0,blue-collar,divorced,primary,1762030.0,M
272,1273,57.0,technician,married,secondary,3276653.0,M
273,1274,56.0,entrepreneur,divorced,secondary,1326311.0,M
274,1275,37.0,admin.,married,secondary,3234694.0,F
275,1276,59.0,retired,married,secondary,4701060.0,F
276,1277,39.0,services,divorced,secondary,5913636.0,F
277,1278,49.0,services,married,secondary,1443852.0,M
278,1279,38.0,services,single,secondary,4752416.0,M
279,1280,36.0,self-employed,married,tertiary,1357671.0,M
280,1281,50.0,blue-collar,married,primary,722708.0,M
281,1282,41.0,admin.,married,secondary,5910016.0,F
282,1283,54.0,technician,married,tertiary,953292.0,F
283,1284,58.0,blue-collar,married,primary,4578565.0,M
284,1285,30.0,blue-collar,single,secondary,1558611.0,M
285,1286,33.0,admin.,single,secondary,4880103.0,F
286,1287,47.0,admin.,married,secondary,3524871.0,M
287,1288,50.0,technician,single,tertiary,3476804.0,F
288,1289,32.0,blue-collar,married,secondary,3036938.0,M
289,1290,40.0,self-employed,married,secondary,2760816.0,M
290,1291,37.0,management,married,tertiary,2794132.0,M
291,1292,54.0,technician,single,,2754979.0,M
292,1293,24.0,student,single,secondary,897631.0,F
293,1294,54.0,management,married,tertiary,4071937.0,M
294,1295,34.0,technician,married,secondary,913233.0,M
295,1296,56.0,technician,divorced,primary,2172991.0,M
296,1297,31.0,blue-collar,single,secondary,1808604.0,F
297,1298,24.0,student,single,secondary,2178016.0,F
298,1299,42.0,blue-collar,divorced,primary,3180544.0,F
299,1300,57.0,technician,married,secondary,3354223.0,M
300,1301,42.0,blue-collar,married,,2571347.0,M
301,1302,51.0,admin.,married,secondary,3756533.0,M
302,1303,57.0,retired,married,secondary,2793971.0,F
303,1304,36.0,services,single,secondary,3592154.0,M
304,1305,53.0,services,married,,4749392.0,M
305,1306,50.0,technician,married,secondary,4433589.0,F
306,1307,54.0,management,married,tertiary,4253344.0,M
307,1308,55.0,blue-collar,married,secondary,4220030.0,F
308,1309,44.0,blue-collar,married,secondary,4737104.0,M
309,1310,43.0,management,married,,2636558.0,M
310,1311,56.0,admin.,married,secondary,634159.0,M
311,1312,54.0,technician,married,,4154754.0,F
312,1313,55.0,services,divorced,primary,1299218.0,F
313,1314,37.0,services,divorced,secondary,3355762.0,M
314,1315,33.0,admin.,single,tertiary,2665320.0,F
315,1316,46.0,admin.,married,secondary,5908232.0,F
316,1317,36.0,blue-collar,married,secondary,1462608.0,M
317,1318,51.0,technician,single,secondary,2557876.0,F
318,1319,40.0,retired,single,primary,3102258.0,M
319,1320,42.0,blue-collar,married,secondary,1877611.0,F
320,1321,51.0,blue-collar,married,secondary,2981596.0,M
321,1322,49.0,blue-collar,married,,3307648.0,F
322,1323,48.0,management,married,secondary,4801127.0,M
323,1324,32.0,technician,divorced,tertiary,1423827.0,M
324,1325,31.0,admin.,single,secondary,1526643.0,M
325,1326,55.0,management,single,tertiary,874566.0,F
326,1327,40.0,blue-collar,single,secondary,2532135.0,F
327,1328,47.0,technician,married,tertiary,629625.0,M
328,1329,57.0,technician,married,,277733.0,M
329,1330,41.0,blue-collar,married,secondary,3391095.0,M
330,1331,48.0,blue-collar,married,secondary,3099154.0,M
331,1332,42.0,blue-collar,married,,1424018.0,M
332,1333,30.0,blue-collar,single,secondary,4999264.0,M
333,1334,58.0,management,single,tertiary,592334.0,M
334,1335,45.0,management,divorced,tertiary,3639475.0,M
335,1336,49.0,blue-collar,married,secondary,3039080.0,F
336,1337,42.0,admin.,single,secondary,3077854.0,F
337,1338,53.0,technician,married,secondary,4688681.0,M
338,1339,51.0,admin.,single,secondary,4999046.0,M
339,1340,32.0,services,single,secondary,2272337.0,M
340,1341,41.0,blue-collar,single,secondary,2298328.0,M
341,1342,43.0,management,divorced,secondary,3982792.0,F
342,1343,40.0,blue-collar,divorced,secondary,4998333.0,M
343,1344,50.0,blue-collar,married,primary,3700288.0,F
344,1345,34.0,management,married,tertiary,1031274.0,F
345,1346,53.0,services,married,,3169273.0,M
346,1347,45.0,technician,married,secondary,575698.0,F
347,1348,39.0,blue-collar,,primary,4996259.0,F
348,1349,44.0,services,married,tertiary,2878714.0,F
349,1350,55.0,management,married,tertiary,3590658.0,F
350,1351,46.0,management,single,tertiary,3315484.0,F
351,1352,45.0,blue-collar,married,secondary,3665634.0,M
352,1353,34.0,admin.,married,secondary,3849590.0,M
353,1354,36.0,blue-collar,married,secondary,4058441.0,F
354,1355,59.0,,divorced,,2762939.0,M
355,1356,31.0,admin.,single,secondary,4669289.0,M
356,1357,44.0,blue-collar,single,secondary,2416769.0,M
357,1358,33.0,entrepreneur,single,tertiary,2002245.0,F
358,1359,40.0,blue-collar,married,secondary,4577169.0,M
359,1360,46.0,admin.,single,tertiary,4920977.0,F
360,1361,48.0,management,married,tertiary,1802264.0,M
361,1362,42.0,services,married,secondary,868072.0,F
362,1363,27.0,services,married,secondary,3317078.0,F
363,1364,48.0,admin.,married,secondary,3856852.0,M
364,1365,59.0,admin.,married,secondary,827833.0,F
365,1366,46.0,technician,married,tertiary,433857.0,F
366,1367,38.0,admin.,divorced,secondary,1168057.0,M
367,1368,43.0,management,divorced,tertiary,3260375.0,M
368,1369,38.0,admin.,divorced,tertiary,4298039.0,M
369,1370,23.0,student,single,secondary,1507311.0,M
370,1371,34.0,services,married,secondary,3497934.0,M
371,1372,38.0,admin.,married,secondary,4279561.0,M
372,1373,37.0,blue-collar,married,secondary,480804.0,F
373,1374,25.0,admin.,single,secondary,1651280.0,M
374,1375,48.0,blue-collar,married,,1230092.0,M
375,1376,49.0,blue-collar,single,secondary,731773.0,M
376,1377,38.0,admin.,single,secondary,1740369.0,M
377,1378,43.0,blue-collar,married,primary,2364282.0,M
378,1379,33.0,management,married,tertiary,822368.0,M
379,1380,55.0,blue-collar,married,secondary,3558811.0,F
380,1381,38.0,blue-collar,married,secondary,1744569.0,F
381,1382,49.0,services,married,secondary,3561641.0,F
382,1383,40.0,management,married,secondary,3322602.0,M
383,1384,43.0,admin.,married,,2758550.0,M
384,1385,38.0,blue-collar,married,secondary,1816140.0,F
385,1386,58.0,services,married,secondary,1541206.0,M
386,1387,57.0,technician,married,,4091638.0,M
387,1388,32.0,unemployed,married,secondary,3691778.0,F
388,1389,56.0,management,married,tertiary,1414323.0,M
389,1390,58.0,blue-collar,divorced,,1687687.0,M
390,1391,60.0,retired,divorced,secondary,4065557.0,M
391,1392,37.0,technician,married,tertiary,1808424.0,F
392,1393,46.0,technician,divorced,tertiary,413432.0,F
393,1394,27.0,admin.,married,secondary,2450390.0,M
394,1395,43.0,blue-collar,married,secondary,2988925.0,M
395,1396,32.0,technician,single,secondary,598664.0,F
396,1397,40.0,admin.,single,secondary,589126.0,M
397,1398,38.0,admin.,married,secondary,824991.0,M
398,1399,34.0,blue-collar,married,secondary,3804923.0,F
399,1400,47.0,blue-collar,married,primary,1701747.0,M
400,1401,42.0,housemaid,married,primary,4707658.0,M
401,1402,48.0,technician,married,secondary,680882.0,M
402,1403,29.0,self-employed,single,tertiary,1829168.0,M
403,1404,50.0,services,married,secondary,4058819.0,M
404,1405,52.0,technician,married,,4648486.0,M
405,1406,50.0,management,married,tertiary,1046667.0,M
406,1407,58.0,retired,married,tertiary,1745004.0,F
407,1408,46.0,blue-collar,divorced,primary,4586596.0,F
408,1409,38.0,technician,married,secondary,4446652.0,F
409,1410,46.0,blue-collar,married,secondary,3401781.0,F
410,1411,32.0,services,single,secondary,3300222.0,F
411,1412,51.0,blue-collar,married,primary,2665166.0,M
412,1413,39.0,admin.,single,secondary,4995356.0,M
413,1414,48.0,admin.,married,secondary,425660.0,M
414,1415,36.0,entrepreneur,married,tertiary,3751965.0,M
415,1416,34.0,admin.,divorced,secondary,1849667.0,F
416,1417,40.0,technician,married,secondary,1366286.0,M
417,1418,43.0,unemployed,married,secondary,4010869.0,F
418,1419,52.0,blue-collar,divorced,primary,2953233.0,M
419,1420,33.0,technician,married,secondary,1594170.0,F
420,1421,49.0,management,single,tertiary,4886672.0,F
421,1422,32.0,management,single,tertiary,4705719.0,M
422,1423,39.0,admin.,single,secondary,2203621.0,F
423,1424,40.0,blue-collar,married,secondary,2290208.0,F
424,1425,38.0,technician,single,tertiary,218824.0,M
425,1426,43.0,management,married,secondary,329550.0,M
426,1427,39.0,services,married,secondary,1471922.0,F
427,1428,54.0,blue-collar,married,primary,2938291.0,M
428,1429,38.0,technician,single,tertiary,1710200.0,M
429,1430,40.0,blue-collar,married,secondary,3005845.0,M
430,1431,55.0,admin.,married,secondary,2273754.0,M
431,1432,42.0,management,married,tertiary,366229.0,M
432,1433,39.0,blue-collar,married,secondary,4569705.0,F
433,1434,40.0,blue-collar,married,primary,4656517.0,M
434,1435,32.0,blue-collar,married,secondary,3152465.0,F
435,1436,55.0,admin.,married,secondary,4094348.0,M
436,1437,45.0,blue-collar,married,secondary,4111462.0,M
437,1438,35.0,management,single,tertiary,4027817.0,F
438,1439,58.0,technician,divorced,secondary,1442744.0,M
439,1440,35.0,admin.,married,secondary,1301820.0,M
440,1441,49.0,services,married,primary,4545680.0,M
441,1442,34.0,technician,single,tertiary,1507477.0,F
442,1443,36.0,blue-collar,married,secondary,3776117.0,F
443,1444,24.0,self-employed,single,secondary,4844139.0,F
444,1445,34.0,technician,married,secondary,2521961.0,M
445,1446,51.0,admin.,divorced,secondary,2209810.0,F
446,1447,39.0,technician,single,,2543746.0,M
447,1448,50.0,self-employed,married,,4991672.0,M
448,1449,32.0,services,single,secondary,4870569.0,M
449,1450,42.0,blue-collar,married,,2823834.0,M
450,1451,50.0,technician,married,secondary,4617538.0,M
451,1452,40.0,services,married,secondary,793042.0,M
452,1453,46.0,management,divorced,,3261747.0,M
453,1454,37.0,management,married,tertiary,1943629.0,M
454,1455,34.0,blue-collar,married,secondary,3223372.0,F
455,1456,44.0,blue-collar,married,secondary,514467.0,M
456,1457,40.0,admin.,single,secondary,4990499.0,F
457,1458,37.0,technician,married,secondary,2138900.0,M
458,1459,33.0,blue-collar,single,secondary,4989079.0,F
459,1460,35.0,blue-collar,married,secondary,2769594.0,M
460,1461,58.0,blue-collar,divorced,secondary,4987575.0,M
461,1462,39.0,blue-collar,married,primary,989322.0,F
462,1463,43.0,blue-collar,married,secondary,4985331.0,F
463,1464,39.0,unemployed,married,primary,4940992.0,F
464,1465,36.0,services,single,primary,3636336.0,F
465,1466,57.0,retired,single,secondary,2625839.0,F
466,1467,36.0,admin.,single,secondary,1239908.0,F
467,1468,50.0,blue-collar,married,primary,2701178.0,M
468,1469,55.0,blue-collar,married,secondary,1725638.0,M
469,1470,44.0,self-employed,married,tertiary,3285122.0,F
470,1471,44.0,services,divorced,secondary,1601395.0,F
471,1472,39.0,housemaid,single,primary,1638500.0,F
472,1473,46.0,blue-collar,married,,3995928.0,M
473,1474,39.0,blue-collar,married,secondary,2518878.0,M
474,1475,34.0,admin.,married,secondary,2434023.0,M
475,1476,40.0,blue-collar,married,primary,1816545.0,M
476,1477,50.0,management,married,tertiary,1938106.0,F
477,1478,31.0,management,single,secondary,1960720.0,M
478,1479,37.0,admin.,single,secondary,1569768.0,F
479,1480,39.0,management,single,secondary,3130214.0,M
480,1481,51.0,blue-collar,married,primary,4627600.0,F
481,1482,41.0,technician,married,secondary,1566843.0,M
482,1483,41.0,technician,married,secondary,2632089.0,M
483,1484,43.0,blue-collar,married,secondary,258762.0,F
484,1485,30.0,services,single,secondary,2559652.0,F
485,1486,54.0,management,divorced,primary,2769779.0,M
486,1487,43.0,blue-collar,divorced,secondary,4390785.0,M
487,1488,59.0,management,divorced,tertiary,4984574.0,M
488,1489,47.0,technician,married,,3954883.0,M
489,1490,40.0,blue-collar,married,primary,4984014.0,M
490,1491,32.0,technician,married,secondary,4713569.0,M
491,1492,29.0,blue-collar,married,secondary,3222833.0,M
492,1493,36.0,blue-collar,married,secondary,3729855.0,M
493,1494,55.0,unemployed,married,tertiary,851115.0,F
494,1495,30.0,blue-collar,divorced,secondary,4983732.0,M
495,1496,39.0,admin.,single,secondary,3433438.0,F
496,1497,39.0,blue-collar,divorced,secondary,4659056.0,F
497,1498,50.0,blue-collar,divorced,secondary,4092663.0,F
498,1499,44.0,blue-collar,married,secondary,4983630.0,F
499,1500,37.0,technician,single,secondary,3197689.0,M
500,1501,46.0,admin.,married,primary,2083929.0,F
501,1502,32.0,technician,single,,4983598.0,F
502,1503,37.0,management,single,tertiary,3423508.0,M
503,1504,29.0,blue-collar,married,secondary,2012703.0,M
504,1505,41.0,blue-collar,married,secondary,915511.0,M
505,1506,45.0,blue-collar,married,primary,2373339.0,F
506,1507,57.0,retired,divorced,secondary,4982293.0,M
507,1508,48.0,blue-collar,single,secondary,2682773.0,M
508,1509,60.0,retired,married,secondary,2841312.0,M
509,1510,26.0,admin.,single,secondary,3637777.0,F
510,1511,58.0,retired,married,secondary,814468.0,M
511,1512,34.0,admin.,married,secondary,3818613.0,M
512,1513,55.0,unemployed,divorced,secondary,1803937.0,M
513,1514,41.0,blue-collar,married,primary,1410543.0,F
514,1515,50.0,management,divorced,secondary,4194997.0,F
515,1516,49.0,entrepreneur,married,secondary,4114507.0,M
516,1517,44.0,admin.,married,,2531895.0,F
517,1518,44.0,blue-collar,married,primary,3672584.0,M
518,1519,31.0,technician,married,secondary,977033.0,F
519,1520,34.0,blue-collar,single,tertiary,302193.0,F
520,1521,46.0,management,single,,3704264.0,F
